rank,player_name,rating,games_played,confidence,last_seen
469,slendermandoc,1399.86,4,0.13,2025-09-30
470,sala7,1399.13,4,0.13,2025-10-31
471,BaaahFieri,1398.45,4,0.13,2025-10-30
472,deadedd,1396.23,3,0.1,2025-10-29
473,seamon.lark,1395.64,2,0.07,2025-11-08
474,Kingdedede bobo,1395.62,3,0.1,2025-11-08
475,Mata,1395.4,8,0.27,2025-10-24
476,tim.ang,1394.76,3,0.1,2025-09-21
477,Eddinater1,1394.41,2,0.07,2025-09-29
478,marwinx1,1393.19,4,0.13,2025-08-25
479,bijosclark,1392.88,2,0.07,2025-10-03
480,lovci,1388.25,7,0.23,2025-09-20
481,TheDimedroll,1386.68,12,0.4,2025-11-09
482,Skullkrakka,1384.79,3,0.1,2025-11-06
483,Beyond,1380.85,2,0.07,2025-09-19
484,Alexwastaken,1378.5,3,0.1,2025-11-04
485,goth_milk,1378.15,3,0.1,2025-09-04
486,John Witcher,1377.82,4,0.13,2025-10-28
487,KapitanJosh,1376.29,3,0.1,2025-10-23
488,Apricot,1375.12,5,0.17,2025-10-23
489,SCARLET,1374.33,5,0.17,2025-09-18
490,oli-go,1373.85,2,0.07,2025-08-23
491,Lord of DWARVES,1373.09,7,0.23,2025-10-04
492,minneymcshort,1371.95,4,0.13,2025-08-12
493,swmichal,1365.76,3,0.1,2025-11-09
494,Papillon,1365.08,6,0.2,2025-08-22
495,Relda,1363.74,2,0.07,2025-08-16
496,zdarova,1363.51,9,0.3,2025-08-18
497,skipper921,1361.26,2,0.07,2025-08-25
498,Nathan,1360.34,6,0.2,2025-08-31
499,dantebal,1356.76,2,0.07,2025-08-15
500,Lucyyyyy,1350.01,8,0.27,2025-11-05
501,okayyako,1346.61,7,0.23,2025-11-03
502,isaacdahmen,1343.88,2,0.07,2025-08-23
503,Orlum,1340.05,2,0.07,2025-07-27
504,RoyMartini,1340.04,3,0.1,2025-10-12
505,Varravann,1339.09,10,0.33,2025-11-07
506,adrian,1329.63,6,0.2,2025-11-09
507,lVlatman,1325.62,3,0.1,2025-09-04
508,Red Cyclone,1311.5,4,0.13,2025-09-08
509,ciga,1303.06,10,0.33,2025-11-03
510,无名小卒,1301.33,5,0.17,2025-10-11
511,Michael Scarn,1297.88,11,0.37,2025-09-15
512,NikitaNV,1292.21,4,0.13,2025-11-08
513,schmendrikson,1289.18,9,0.3,2025-11-09
514,Barbaferro,1287.74,31,1.0,2025-11-07
515,Lokken,1287.4,3,0.1,2025-08-13
516,Skruntoo,1286.23,6,0.2,2025-11-09
517,blankE,1269.42,51,1.0,2025-11-09
